Misin01G000100	AT1G09020
Misin01G045700	AT5G39950
Misin01G045800	AT3G54350
Misin01G045900	AT1G75850
Misin01G046000	AT5G23330
Misin01G046100	None
Misin01G046200	None
Misin01G046300	None
Misin01G046400	AT1G69910
Misin01G046500	AT5G05310
Misin01G046600	AT1G48410
Misin01G046700	AT1G03910
Misin01G046800	AT2G39210
Misin01G046900	AT3G52190
Misin01G047000	AT5G18570
Misin01G047100	AT3G51040
Misin01G047200	None
Misin01G047300	AT5G16720
Misin01G047400	AT3G23090
Misin01G047500	AT2G30620
Misin01G047600	AT4G02780
Misin01G047700	AT5G09500
Misin01G047800	None
Misin01G047900	AT5G28650
Misin01G048000	AT1G08770
Misin01G048100	AT5G49160
Misin01G048200	None
Misin01G048300	AT1G06770
Misin01G048400	AT2G45240
Misin01G048500	None
Misin01G048600	AT2G30580
Misin01G048700	AT4G18770
Misin01G048800	AT1G04240
Misin01G048900	AT1G04230
Misin01G049000	None
Misin01G049100	AT4G02590
Misin01G049200	AT3G13882
Misin01G049300	None
Misin01G049400	AT4G02610
Misin01G049500	AT4G02610
Misin01G049600	AT5G28770
Misin01G049700	AT2G38840
Misin01G049800	AT5G46070
Misin01G049900	AT4G14620
Misin01G050000	AT3G22960
Misin01G050100	AT3G09630
Misin01G050200	AT5G20030
Misin01G050300	None
Misin01G050400	AT1G30520
Misin01G050500	None
Misin01G050600	None
Misin01G050700	AT3G22850
Misin01G050800	AT3G22830
Misin01G050900	AT1G03070
Misin01G051000	AT1G03070
Misin01G051100	AT3G04780
Misin01G051200	AT3G22470
Misin01G051300	AT5G41880
Misin01G051400	AT3G22800
Misin01G051500	AT2G02980
Misin01G051600	AT1G55475
Misin01G051600	None
Misin01G051700	AT2G32040
Misin01G051800	AT1G54490
Misin01G051900	AT5G12940
Misin01G052000	AT5G50260
Misin01G052100	AT4G30480
Misin01G052200	AT4G09800
Misin01G052300	AT5G18170
Misin01G052400	AT2G32030
Misin01G052500	AT2G32030
Misin01G052600	AT2G48130
Misin01G052700	AT2G48140
Misin01G052800	AT3G22600
Misin01G052900	AT3G22640
Misin01G053000	AT1G05470
Misin01G053100	None
Misin01G053200	AT1G53645
Misin01G053300	AT5G67270
Misin01G053400	None
Misin01G053500	AT3G49030
Misin01G053600	AT3G13460
Misin01G053600	AT5G61020
Misin01G053700	AT5G27740
Misin01G053800	AT3G03740
Misin01G053900	AT5G35220
Misin01G054000	AT2G02760
Misin01G054100	AT3G03770
Misin01G054200	None
Misin01G054300	AT1G11890
Misin01G054400	AT2G26720
Misin01G054500	AT2G32300
Misin01G054600	AT1G67580
Misin01G054700	AT1G67580
Misin01G054800	None
Misin01G054900	AT2G45050
Misin01G055000	AT5G20960
Misin01G055100	AT2G27150
Misin01G055200	AT3G43600
Misin01G055300	AT3G26620
Misin01G055400	AT3G54720
Misin01G055500	AT5G06570
Misin01G055600	AT5G06560
Misin01G055700	None
Misin01G055800	AT5G04870
Misin01G055900	AT5G22000
Misin01G056000	AT2G35860
Misin01G056100	AT5G04870
Misin01G056200	AT3G10650
Misin01G056300	AT3G11780
Misin01G056400	None
Misin01G056500	AT5G06490
Misin01G056600	AT2G26860
Misin01G056700	AT5G22060
Misin01G056800	AT3G22190
Misin01G056900	None
Misin01G057000	AT1G27480
Misin01G057100	AT3G47580
Misin01G057200	AT3G44150
Misin01G057300	AT3G11820
Misin01G057400	AT5G16280
Misin01G057500	AT5G46210
Misin01G057600	None
Misin01G057700	AT2G39120
Misin01G057800	AT3G42860
Misin01G057900	None
Misin01G058000	None
Misin01G058100	None
Misin01G058200	AT3G14420
Misin01G058300	None
Misin01G058400	AT3G07560
Misin01G058500	AT1G17180
Misin01G058600	AT4G18390
Misin01G058700	AT5G46150
Misin01G058800	AT1G17210
Misin01G058900	AT2G34620
Misin01G059000	AT2G34690
Misin01G059100	AT1G47710
Misin01G059200	AT5G01930
Misin01G059300	AT3G20800
Misin01G059400	AT1G30510
Misin01G059500	AT5G63890
Misin01G059600	AT1G01020
Misin01G059700	AT3G54950
Misin01G059800	AT2G31305
Misin01G059900	None
Misin01G060000	AT1G56000
Misin01G060100	AT1G24260
Misin01G060200	AT1G26340
Misin01G060300	AT5G60920
Misin01G060400	AT5G60920
Misin01G060500	AT5G15640
Misin01G060600	AT5G60940
Misin01G060700	AT1G69220
Misin01G060800	AT5G39040
Misin01G060900	AT4G26190
Misin01G060900	None
Misin01G061000	AT1G13340
Misin01G061100	AT5G48760
Misin01G061200	None
Misin01G061300	None
Misin01G061400	AT1G18650
Misin01G061500	None
Misin01G061600	AT3G05010
Misin01G061700	AT5G07980
Misin01G061800	AT5G07960
Misin01G061900	None
Misin01G062000	AT3G02100
Misin01G062100	AT3G02100
Misin01G062200	AT3G02100
Misin01G062300	None
Misin01G062400	None
Misin01G062500	None
Misin01G062600	AT3G02100
Misin01G062700	None
Misin01G062800	AT3G02100
Misin01G062900	AT3G02100
Misin01G063000	AT5G15490
Misin01G063100	AT1G69310
Misin01G063200	AT3G29320
Misin01G063300	AT5G15410
Misin01G063400	AT2G03430
Misin01G063500	None
Misin01G063600	AT5G15350
Misin01G063700	AT5G60040
Misin01G063800	AT1G69360
Misin01G063900	AT1G69400
Misin01G064000	AT1G13950
Misin01G064100	AT3G29185
Misin01G064200	None
Misin01G064300	AT3G01080
Misin01G064400	AT3G29180
Misin01G064500	AT4G29910
Misin01G064600	None
Misin01G064700	None
Misin01G064800	AT3G19500
Misin01G064900	AT4G37360
Misin01G065000	AT1G66540
Misin01G065100	None
Misin01G065200	AT4G37320
Misin01G065300	AT4G37320
Misin01G065400	AT4G34270
Misin01G065500	None
Misin01G065600	AT5G22480
Misin01G065700	AT1G14810
Misin01G065800	AT2G39540
Misin01G065900	AT4G34290
Misin01G066000	AT4G33920
Misin01G066100	AT5G65860
Misin01G066200	AT1G77360
Misin01G066300	AT5G67360
Misin01G066400	AT4G37480
Misin01G066500	AT4G33910
Misin01G066600	AT3G50000
Misin01G066700	AT5G67390
Misin01G066800	AT4G37520
Misin01G066900	None
Misin01G067000	AT3G49960
Misin01G067100	AT5G43150
Misin01G067200	None
Misin01G067300	None
Misin01G067400	AT1G49890
Misin01G067500	None
Misin01G067600	AT2G23070
Misin01G067700	AT2G34250
Misin01G067800	None
Misin01G067900	AT5G67450
Misin01G068000	AT2G14760
Misin01G068100	AT5G66850
Misin01G068200	AT1G49520
Misin01G068300	AT4G37180
Misin01G068400	None
Misin01G068500	AT4G33950
Misin01G068600	AT1G51700
Misin01G068700	AT2G45490
Misin01G068800	AT1G47310
Misin01G068900	AT1G06870
Misin01G069000	AT4G37130
Misin01G069100	AT2G15890
Misin01G069200	None
Misin01G069300	None
Misin01G069400	AT1G47640
Misin01G069500	AT1G32240
Misin01G069500	AT5G42630
Misin01G069600	None
Misin01G069700	None
Misin01G069800	AT3G18940
Misin01G069900	AT5G13710
Misin01G070000	AT5G42650
Misin01G070100	AT4G37200
Misin01G070200	AT5G66560
Misin01G070300	AT1G47580
Misin01G070400	AT3G50830
Misin01G070500	AT3G50810
Misin01G070600	None
Misin01G070700	AT1G76600
Misin01G070800	AT5G66600
Misin01G070900	AT5G42660
Misin01G071000	AT1G74970
Misin01G071100	AT3G50780
Misin01G071200	AT3G50770
Misin01G071300	AT1G49380
Misin01G071400	AT1G10140
Misin01G071500	AT1G10150
Misin01G071600	AT3G49760
Misin01G071700	AT2G33410
Misin01G071800	AT2G32030
Misin01G071900	AT4G37750
Misin01G072000	AT4G07960
Misin01G072100	AT4G17000
Misin01G072200	AT5G57620
Misin01G072300	AT4G08150
Misin01G072400	AT3G53810
Misin01G072500	AT4G02420
Misin01G072600	AT3G53810
Misin01G072700	AT4G37830
Misin01G072800	None
Misin01G072900	AT4G33865
Misin01G073000	AT2G16250
Misin01G073100	AT3G49650
Misin01G073200	AT5G65700
Misin01G073300	None
Misin01G073400	AT2G22780
Misin01G073500	AT1G50010
Misin01G073500	AT4G14960
Misin01G073600	AT1G79010
Misin01G073700	AT1G75210
Misin01G073800	AT5G42765
Misin01G073900	AT5G42760
Misin01G074000	AT1G19430
Misin01G074100	AT1G75200
Misin01G074200	AT1G48140
Misin01G074300	AT2G22070
Misin01G074400	AT3G50845
Misin01G074500	AT1G19400
Misin01G074600	AT5G42710
Misin01G074700	AT4G08850
Misin01G074800	None
Misin01G074900	None
Misin01G075000	AT2G20180
Misin01G075100	None
Misin01G075200	AT5G09520
Misin01G075300	AT3G10260
Misin01G075400	AT5G44520
Misin01G075500	None
Misin01G075600	AT4G21300
Misin01G075700	AT4G00390
Misin01G075800	AT1G56050
Misin01G075900	AT5G44450
Misin01G076000	AT2G34770
Misin01G076100	AT5G62700
Misin01G076200	AT1G16350
Misin01G076300	AT2G31200
Misin01G076400	AT1G79130
Misin01G076500	AT1G31335
Misin01G076600	None
Misin01G076700	AT4G09650
Misin01G076800	None
Misin01G076900	AT3G28460
Misin01G077000	None
Misin01G077100	AT2G38110
Misin01G077200	AT1G69870
Misin01G077300	AT5G05250
Misin01G077400	AT5G10860
Misin01G077500	AT2G39810
Misin01G077600	AT2G14110
Misin01G077700	AT5G27620
Misin01G077800	AT5G58730
Misin01G077900	AT4G02030
Misin01G078000	None
Misin01G078100	None
Misin01G078200	AT1G77120
Misin01G078300	AT2G15860
Misin01G078400	AT4G21520
Misin01G078500	AT1G50030
Misin01G078600	AT5G40820
Misin01G078700	AT4G37930
Misin01G078800	AT5G66560
Misin01G078900	None
Misin01G079000	AT4G19390
Misin01G079100	AT5G42655
Misin01G079200	None
Misin01G079300	None
Misin01G079400	AT5G05920
Misin01G079500	AT3G22300
Misin01G079600	AT1G10590
Misin01G079700	None
Misin01G079800	AT3G23100
Misin01G079900	None
Misin01G080000	AT5G43650
Misin01G080100	AT2G30590
Misin01G080200	AT1G55190
Misin01G080300	AT2G30580
Misin01G080400	None
Misin01G080500	None
Misin01G080600	AT5G26594
Misin01G080700	AT5G64560
Misin01G080800	AT5G43670
Misin01G080900	AT3G23050
Misin01G081000	None
Misin01G081100	None
Misin01G081200	AT3G04750
Misin01G081300	AT3G54560
Misin01G081400	AT5G37780
Misin01G081500	AT4G14680
Misin01G081600	None
Misin01G081700	AT3G55250
Misin01G081800	AT1G04210
Misin01G081900	AT3G54660
Misin01G082000	AT5G43830
Misin01G082100	AT1G03060
Misin01G082200	AT1G62250
Misin01G082300	AT3G22845
Misin01G082400	None
Misin01G082500	AT3G22830
Misin01G082600	AT2G15490
Misin01G082700	AT5G24100
Misin01G082800	AT1G03070
Misin01G082900	None
Misin01G083000	AT3G22750
Misin01G083100	AT3G22670
Misin01G083200	AT4G14790
Misin01G083300	AT5G50230
Misin01G083400	AT1G79970
Misin01G083500	AT1G03110
Misin01G083600	AT3G61110
Misin01G083700	AT3G61110
Misin01G083800	AT3G61110
Misin01G083900	AT3G22540
Misin01G084000	AT1G05440
Misin01G084100	AT1G05410
Misin01G084200	AT5G47420
Misin01G084300	None
Misin01G084400	AT3G22490
Misin01G084500	AT5G36740
Misin01G084600	AT3G53030
Misin01G084700	AT3G49400
Misin01G084800	AT3G49400
Misin01G084900	AT1G55370
Misin01G085000	AT4G15570
Misin01G085100	AT1G54390
Misin01G085200	AT3G13460
Misin01G085300	AT1G05385
Misin01G085400	AT4G16440
Misin01G085500	AT5G56040
Misin01G085600	AT5G04895
Misin01G085700	AT5G32450
Misin01G085800	AT2G38290
Misin01G085900	AT5G04885
Misin01G086000	None
Misin01G086100	AT4G38180
Misin01G086200	None
Misin01G086300	None
Misin01G086400	AT5G20950
Misin01G086500	None
Misin01G086600	AT5G20950
Misin01G086700	AT5G20930
Misin01G086800	AT3G58470
Misin01G086900	AT3G46630
Misin01G087000	AT3G11930
Misin01G087100	AT1G04130
Misin01G087200	AT3G44050
Misin01G087300	AT3G11690
Misin01G087400	AT5G22020
Misin01G087500	AT4G16420
Misin01G087600	AT4G16420
Misin01G087700	None
Misin01G087800	AT4G17240
Misin01G087900	None
Misin01G088000	None
Misin01G088100	AT2G04900
Misin01G088200	AT2G04910
Misin01G088300	AT5G55540
Misin01G088400	AT4G16370
Misin01G088500	AT5G51230
Misin01G088600	None
Misin01G088700	AT5G03380
Misin01G088800	None
Misin01G088900	None
Misin01G089000	AT5G35840
Misin01G089100	AT1G69060
Misin01G089200	AT1G69120
Misin01G089300	AT1G76610
Misin01G089400	AT5G66590
Misin01G089500	AT5G28640
Misin01G089600	None
Misin01G089700	AT1G72280
Misin01G089700	AT2G38960
Misin01G089800	None
Misin01G089900	None
Misin01G090000	None
Misin01G090100	None
Misin01G090200	AT1G72060
Misin01G090300	AT5G66380
Misin01G090400	None
Misin01G090500	AT1G70190
Misin01G090600	AT5G19220
Misin01G090700	AT4G07410
Misin01G090800	AT1G03670
Misin01G090900	AT1G03670
Misin01G091000	AT3G52600
Misin01G091100	AT3G07030
Misin01G091200	None
Misin01G091300	None
Misin01G091400	AT2G23760
Misin01G091500	None
Misin01G091600	None
Misin01G091700	AT4G34350
Misin01G091800	AT1G28710
Misin01G091900	None
Misin01G092000	AT5G42620
Misin01G092100	AT1G49975
Misin01G092200	None
Misin01G092300	AT5G11730
Misin01G092400	AT5G11730
Misin01G092500	AT5G11730
Misin01G092600	AT1G10130
Misin01G092700	AT1G73300
Misin01G092800	AT3G25230
Misin01G092900	AT5G13210
Misin01G093000	AT5G43400
Misin01G093100	None
Misin01G093200	None
Misin01G093300	AT1G27480
Misin01G093400	AT2G03120
Misin01G093500	AT5G65840
Misin01G093600	AT5G65840
Misin01G093700	AT2G22840
Misin01G093800	AT1G50000
Misin01G093900	None
Misin01G094000	AT5G25320
Misin01G094100	AT5G65910
Misin01G094200	AT2G17030
Misin01G094300	AT4G07990
Misin01G094400	AT3G49730
Misin01G094500	AT3G12210
Misin01G094600	AT4G34910
Misin01G094700	AT5G55940
Misin01G094800	AT1G10120
Misin01G094900	AT1G17870
Misin01G095000	AT1G44920
Misin01G095100	AT4G08150
Misin01G095200	AT5G65740
Misin01G095300	AT4G25770
Misin01G095400	AT4G37810
Misin01G095500	None
Misin01G095600	None
Misin01G095700	AT2G36630
Misin01G095800	AT1G58520
Misin01G095900	AT1G35670
Misin01G096000	AT4G37820
Misin01G096100	AT2G36630
Misin01G096200	None
Misin01G096300	AT4G37810
Misin01G096400	AT1G10040
Misin01G096400	AT5G51180
Misin01G096500	AT5G65740
Misin01G096600	AT4G08150
Misin01G096700	AT5G66290
Misin01G096800	AT4G08150
Misin01G096900	AT4G08150
Misin01G097000	AT4G08170
Misin01G097100	None
Misin01G097200	AT4G14960
Misin01G097300	AT3G49660
Misin01G097400	None
Misin01G097500	AT4G37850
Misin01G097600	AT5G10270
Misin01G097700	AT4G31770
Misin01G097800	None
Misin01G097900	None
Misin01G098000	AT5G58040
Misin01G098100	AT5G66550
Misin01G098200	None
Misin01G098300	AT4G39235
Misin01G098400	AT2G16250
Misin01G098500	AT1G75170
Misin01G098600	AT1G75170
Misin01G098700	AT1G75170
Misin01G098800	None
